BGRI11,BGRI11_M1LABELS_LP_AdjMatGeoNetDist
01100302401,86.0
01051301007,11.0
01050400704,116.0
01100302307,50.0
01100302202,50.0
01050601103,64.0
01100302304,118.0
01051301101,67.0
01100302113,50.0
01100301904,50.0
01050601202,24.0
01100302005,118.0
01051300707,130.0
01100302004,118.0
01100302105,55.0
01100302003,118.0
01100200109,49.0
01100301703,50.0
01050600707,24.0
01051300606,64.0
01100301808,50.0
01100302002,118.0
01100300214,50.0
01100300213,50.0
01050601201,111.0
01050600706,104.0
01050600111,22.0
01100302104,55.0
01051300605,67.0
01050601101,64.0
01051300604,64.0
01100302103,55.0
01051300706,90.0
01050400602,9.0
01100301702,50.0
01100200108,122.0
01100200107,122.0
01100200106,122.0
01100301903,50.0
01050400202,96.0
01100302417,86.0
01100302112,118.0
01050400702,116.0
01050601502,25.0
01100200112,81.0
01051301004,130.0
01100200301,49.0
01051301003,130.0
01050601501,25.0
01100302303,118.0
01100302111,50.0
01050601402,24.0
01050601601,24.0
01051300803,67.0
01050600705,104.0
01050600807,111.0
01050600806,24.0
01100302102,55.0
01050400212,11.0
01100301309,118.0
01100302101,55.0
01050400407,9.0
01050600805,24.0
01100301902,50.0
01051300708,90.0
01100301215,55.0
01100200105,122.0
01050601001,37.0
01100200104,49.0
01100301807,50.0
01050600110,22.0
01050600804,24.0
01100301214,50.0
01050600704,104.0
01051300705,90.0
01100300212,50.0
01100301806,118.0
01100301308,118.0
01100301307,48.0
01050600513,24.0
01051300407,66.0
01050600109,22.0
01100301306,118.0
01050400211,96.0
01100200103,49.0
01050600803,111.0
01100301213,55.0
01100301212,48.0
01050900201,70.0
01100100120,123.0
01100100102,120.0
01100401105,53.0
01100100118,123.0
01100100117,123.0
01100401202,53.0
01100401302,54.0
01050101108,4.0
01050800403,36.0
01100401104,53.0
01050101201,126.0
01100400609,75.0
01100400906,52.0
01100401103,54.0
01100100101,120.0
01100401301,54.0
01100400608,77.0
01100401002,52.0
01050800218,71.0
01050800310,36.0
01100400606,131.0
01050300122,99.0
01100200920,123.0
01050800217,71.0
01050101107,4.0
01100401102,53.0
01100401201,54.0
01050800501,36.0
01050900101,99.0
01100200919,123.0
01100400905,52.0
01050101006,4.0
01100400904,52.0
01050300121,99.0
01050101106,52.0
01100401101,54.0
01050101105,4.0
01050800216,71.0
01051000512,126.0
01100400903,52.0
01050800402,36.0
01100400811,53.0
01050800309,36.0
01100200918,123.0
01100400307,53.0
01050800212,71.0
01050100814,4.0
01100400802,53.0
01100400504,53.0
01050100813,4.0
01100201009,120.0
01050300112,115.0
01100200909,123.0
01100200908,123.0
01051000606,126.0
01100201008,120.0
01051000605,126.0
01100400801,53.0
01050100810,4.0
01050100707,4.0
01100400503,53.0
01050100902,4.0
01050100809,4.0
01050100706,4.0
01100201007,120.0
01050800113,97.0
01050300111,114.0
01100400306,53.0
01050100915,52.0
01100400707,53.0
01100400902,52.0
01050101005,4.0
01050300120,115.0
01100400509,53.0
01050800308,36.0
01050800210,34.0
01100200917,123.0
01050800209,71.0
01050101104,4.0
01100400508,54.0
01050101004,4.0
01050101103,4.0
01050101102,4.0
01050101101,4.0
01100400810,53.0
01100400706,53.0
01050800307,36.0
01100200916,123.0
01100200915,123.0
01100401001,52.0
01100400901,52.0
01050100914,4.0
01100400705,53.0
01100400704,53.0
01050800306,36.0
01050200109,61.0
01050200108,61.0
01051100136,
01050200113,113.0
01100200102,49.0
01050600512,104.0
01050400210,9.0
01050600108,22.0
01100300211,50.0
01100301609,118.0
01050600802,111.0
01051300305,64.0
01100200101,122.0
01100301305,48.0
01050600801,111.0
01050400406,9.0
01050600511,104.0
01050400405,9.0
01050400601,9.0
01100301211,55.0
01100302001,118.0
01050400404,9.0
01100301210,55.0
01051300508,66.0
01051300603,66.0
01050400312,9.0
01050600607,111.0
01050400311,9.0
01050400310,9.0
01100301209,55.0
01051300602,64.0
01100301901,50.0
01100301805,50.0
01100301804,118.0
01100301503,49.0
01051300704,90.0
01050400403,9.0
01051300304,64.0
01050600606,111.0
01050400402,9.0
01050600510,26.0
01050600107,22.0
01050600509,104.0
01051300406,90.0
01100301803,50.0
01050600106,22.0
01050400309,9.0
01050600605,111.0
01050600105,22.0
01050400308,9.0
01100301208,55.0
01100301405,122.0
01050600508,111.0
