BGRI11;BGRI11_M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_AfterLABEL1
01050300123;70;18497_
01050300124;99;18647_
01050400101;116;18678_
01050400102;116;18678_
01050400104;116;18678_
01050400105;116;18678_
01050400106;128;20833_
01050400107;117;18679_
01050400108;117;18679_
01050400109;117;18679_
01050400110;117;18679_
01050400111;117;18679_
01050400112;117;18679_
01050400113;128;20833_
01050400201;128;20833_
01050400202;96;18642_
01050400203;96;18642_
01050400204;96;18642_
01050400205;116;18678_
01050400206;10;10342_
01050400207;9;10341_10349_
01050400208;9;10341_10349_
01050400209;10;10342_
01050400210;9;10341_10349_
01050400212;11;10343_10351_10376_
01050400213;11;10343_10351_10376_
01050400214;10;10342_
01050400215;96;18642_
01050400301;16;10348_10378_
01050400302;9;10341_10349_
01050400303;97;18644_
01050400304;90;18633_
01050400305;90;18633_
01050400306;9;10341_10349_
01050400307;9;10341_10349_
01050400308;9;10341_10349_
01050400309;9;10341_10349_
01050400310;9;10341_10349_
01050400311;9;10341_10349_
01050400312;9;10341_10349_
01050400401;9;10341_10349_
01050400402;9;10341_10349_
01050400403;9;10341_10349_
01050400404;9;10341_10349_
01050400405;9;10341_10349_
01050400406;9;10341_10349_
01050400407;9;10341_10349_
01050400408;9;10341_10349_
01050400501;128;20833_
01050400502;116;18678_
01050400503;116;18678_
01050400504;116;18678_
01050400505;116;18678_
01050400506;116;18678_
01050400507;116;18678_
01050400509;116;18678_
01050400510;116;18678_
01050400511;116;18678_
01050400512;116;18678_
01050400513;116;18678_
01050400601;9;10341_10349_
01050400602;9;10341_10349_
01050400701;128;20833_
01050400702;116;18678_
01050400703;128;20833_
01050400704;116;18678_
01050400705;116;18678_
01050400706;116;18678_
01050400707;116;18678_
01050400708;116;18678_
01050400709;68;18495_
01050400710;116;18678_
01050400801;96;18642_
01050400802;116;18678_
01050400803;96;18642_
01050400804;116;18678_
01050400805;116;18678_
01050400806;116;18678_
01050400807;116;18678_
01050400808;68;18495_
01050400810;96;18642_
01050400811;96;18642_
01050400812;96;18642_
01050500101;12;10344_10368_
01050500102;88;18629_
01050500103;88;18629_
01050500104;20;10354_
01050500105;20;10354_
01050500106;20;10354_
01050500107;15;10347_
01050500108;15;10347_
01050500109;20;10354_
01050500110;20;10354_
01050500201;12;10344_10368_
01050500202;12;10344_10368_
01050500204;88;18629_
01050500205;12;10344_10368_
01050500206;12;10344_10368_
01050500207;88;18629_
01050500208;88;18629_
01050500209;20;10354_
01050500210;88;18629_
01050500211;15;10347_
01050500212;88;18629_
01050500301;15;10347_
01050500302;15;10347_
01050500303;15;10347_
01050500304;15;10347_
01050500305;15;10347_
01050500306;15;10347_
01050500401;84;18625_
01050500402;15;10347_
01050500403;84;18625_
01050500404;84;18625_
01050500405;59;18484_
01050500406;87;18628_
01050500501;17;10350_18489_
01050500502;17;10350_18489_
01050500503;17;10350_18489_
01050500504;17;10350_18489_
01050500505;17;10350_18489_
01050500506;17;10350_18489_
01050500507;84;18625_
01050500508;17;10350_18489_
01050500509;17;10350_18489_
01050500510;17;10350_18489_
01050500511;84;18625_
01050500512;84;18625_
01050500513;16;10348_10378_
01050500514;16;10348_10378_
01050500515;17;10350_18489_
01050500601;17;10350_18489_
01050500603;17;10350_18489_
01050500604;17;10350_18489_
01050500605;84;18625_
01050500606;17;10350_18489_
01050500607;17;10350_18489_
01050500608;84;18625_
01050500701;15;10347_
01050500702;20;10354_
01050500703;15;10347_
01050500704;20;10354_
01050500705;20;10354_
01050500706;20;10354_
01050500801;20;10354_
01050500802;59;18484_
01050500803;59;18484_
01050500804;89;18631_
01050500805;59;18484_
01050500806;59;18484_
01050500808;59;18484_
01050500809;59;18484_
01050500901;84;18625_
01050500902;83;18624_
01050500903;84;18625_
01050500904;84;18625_
01050500905;83;18624_
01050500906;16;10348_10378_
01050500908;16;10348_10378_
01050501001;20;10354_
01050501002;89;18631_
01050501101;86;18627_18653_
01050501102;86;18627_18653_
01050501103;86;18627_18653_
01050501104;86;18627_18653_
01050501105;86;18627_18653_
01050501106;86;18627_18653_
01050501107;86;18627_18653_
01050501108;86;18627_18653_
01050501109;86;18627_18653_
01050501201;86;18627_18653_
01050501301;82;18622_18623_18630_18632_
01050501302;82;18622_18623_18630_18632_
01050501303;82;18622_18623_18630_18632_
01050501305;82;18622_18623_18630_18632_
