BGRI11;BGRI11_M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_AfterLABEL1
01100200301;49;11641_
01100200302;119;18681_
01100200303;119;18681_
01100200304;119;18681_
01100200305;119;18681_
01100200306;119;18681_
01100200307;119;18681_
01100200308;119;18681_
01100200309;119;18681_
01100200311;119;18681_
01100200312;119;18681_
01100200401;81;18508_
01100200402;81;18508_
01100200403;81;18508_
01100200404;81;18508_
01100200405;81;18508_
01100200406;81;18508_
01100200407;86;18627_18653_
01100200409;81;18508_
01100200410;81;18508_
01100200411;81;18508_
01100200412;81;18508_
01100200413;81;18508_
01100200415;81;18508_
01100200416;81;18508_
01100200501;81;18508_
01100200502;81;18508_
01100200504;81;18508_
01100200505;81;18508_
01100200506;81;18508_
01100200507;81;18508_
01100200508;81;18508_
01100200509;81;18508_
01100200510;81;18508_
01100200511;81;18508_
01100200512;81;18508_
01100200513;81;18508_
01100200514;123;18687_
01100200602;81;18508_
01100200603;81;18508_
01100200604;81;18508_
01100200605;81;18508_
01100200606;81;18508_
01100200607;81;18508_
01100200608;81;18508_
01100200609;81;18508_
01100200610;81;18508_
01100200701;119;18681_
01100200702;47;11638_18683_
01100200703;47;11638_18683_
01100200704;47;11638_18683_
01100200705;47;11638_18683_
01100200706;47;11638_18683_
01100200707;120;18682_
01100200709;120;18682_
01100200711;120;18682_
01100200712;120;18682_
01100200801;119;18681_
01100200802;119;18681_
01100200803;119;18681_
01100200804;119;18681_
01100200805;119;18681_
01100200806;119;18681_
01100200808;47;11638_18683_
01100200809;47;11638_18683_
01100200901;123;18687_
01100200902;123;18687_
01100200903;123;18687_
01100200904;123;18687_
01100200905;123;18687_
01100200906;123;18687_
01100200907;123;18687_
01100200908;123;18687_
01100200909;123;18687_
01100200910;123;18687_
01100200911;123;18687_
01100200912;123;18687_
01100200913;123;18687_
01100200914;123;18687_
01100200915;123;18687_
01100200916;123;18687_
01100200917;123;18687_
01100200918;123;18687_
01100200919;123;18687_
01100200920;123;18687_
01100201001;47;11638_18683_
01100201002;119;18681_
01100201003;120;18682_
01100201004;119;18681_
01100201005;120;18682_
01100201006;120;18682_
01100201007;119;18681_
01100201010;120;18682_
01100300101;48;11639_11640_18509_18684_
01100300102;48;11639_11640_18509_18684_
01100300103;48;11639_11640_18509_18684_
01100300104;48;11639_11640_18509_18684_
01100300105;48;11639_11640_18509_18684_
01100300106;48;11639_11640_18509_18684_
01100300107;48;11639_11640_18509_18684_
01100300108;48;11639_11640_18509_18684_
01100300109;50;11642_
01100300110;50;11642_
01100300111;50;11642_
01100300112;122;18686_
01100300201;121;18685_
01100300202;121;18685_
01100300203;48;11639_11640_18509_18684_
01100300204;51;11643_
01100300205;50;11642_
01100300206;48;11639_11640_18509_18684_
01100300207;50;11642_
01100300209;50;11642_
01100300210;50;11642_
01100300211;50;11642_
01100300212;50;11642_
01100300214;50;11642_
01100300301;48;11639_11640_18509_18684_
01100300302;48;11639_11640_18509_18684_
01100300303;48;11639_11640_18509_18684_
01100300304;48;11639_11640_18509_18684_
01100300305;48;11639_11640_18509_18684_
01100300306;48;11639_11640_18509_18684_
01100300307;48;11639_11640_18509_18684_
01100300308;48;11639_11640_18509_18684_
01100300309;48;11639_11640_18509_18684_
01100300310;48;11639_11640_18509_18684_
01100300311;48;11639_11640_18509_18684_
01100300313;48;11639_11640_18509_18684_
01100300315;48;11639_11640_18509_18684_
01100300316;48;11639_11640_18509_18684_
01100300317;48;11639_11640_18509_18684_
01100300318;48;11639_11640_18509_18684_
01100300319;48;11639_11640_18509_18684_
01100300320;48;11639_11640_18509_18684_
01100300321;48;11639_11640_18509_18684_
01100300322;48;11639_11640_18509_18684_
01100300401;48;11639_11640_18509_18684_
01100300402;48;11639_11640_18509_18684_
01100300404;48;11639_11640_18509_18684_
01100300405;48;11639_11640_18509_18684_
01100300406;48;11639_11640_18509_18684_
01100300407;48;11639_11640_18509_18684_
01100300408;48;11639_11640_18509_18684_
01100300409;48;11639_11640_18509_18684_
01100300410;48;11639_11640_18509_18684_
01100300411;48;11639_11640_18509_18684_
01100300412;48;11639_11640_18509_18684_
01100300501;122;18686_
01100300502;122;18686_
01100300503;122;18686_
01100300504;122;18686_
01100300505;122;18686_
01100300506;122;18686_
01100300601;122;18686_
01100300602;122;18686_
01100300603;122;18686_
01100300604;122;18686_
01100300605;122;18686_
01100300701;122;18686_
01100300702;122;18686_
01100300703;122;18686_
01100300704;122;18686_
01100300705;122;18686_
01100300706;122;18686_
01100300801;122;18686_
01100300802;49;11641_
01100300901;122;18686_
01100300902;122;18686_
01100300903;122;18686_
01100300904;122;18686_
01100300905;122;18686_
01100300906;122;18686_
01100301001;48;11639_11640_18509_18684_
01100301002;48;11639_11640_18509_18684_
01100301003;48;11639_11640_18509_18684_
01100301004;48;11639_11640_18509_18684_
01100301005;48;11639_11640_18509_18684_
01100301006;50;11642_
01100301007;48;11639_11640_18509_18684_
01100301008;50;11642_
01100301009;50;11642_
01100301010;118;18680_
01100301011;50;11642_
01100301012;50;11642_
01100301013;50;11642_
01100301014;50;11642_
01100301101;122;18686_
01100301102;122;18686_
01100301103;122;18686_
01100301104;122;18686_
01100301201;48;11639_11640_18509_18684_
01100301202;55;11648_
01100301203;48;11639_11640_18509_18684_
01100301204;48;11639_11640_18509_18684_
01100301205;48;11639_11640_18509_18684_
01100301206;48;11639_11640_18509_18684_
01100301207;48;11639_11640_18509_18684_
01100301208;50;11642_
01100301210;50;11642_
01100301213;55;11648_
01100301214;48;11639_11640_18509_18684_
01100301215;48;11639_11640_18509_18684_
01100301301;48;11639_11640_18509_18684_
01100301302;48;11639_11640_18509_18684_
01100301303;48;11639_11640_18509_18684_
01100301304;48;11639_11640_18509_18684_
01100301306;48;11639_11640_18509_18684_
01100301307;48;11639_11640_18509_18684_
01100301308;118;18680_
01100301309;118;18680_
01100301401;122;18686_
01100301402;122;18686_
01100301403;122;18686_
01100301404;122;18686_
01100301405;122;18686_
01100301501;122;18686_
01100301502;122;18686_
01100301503;122;18686_
01100301602;48;11639_11640_18509_18684_
01100301603;48;11639_11640_18509_18684_
01100301604;48;11639_11640_18509_18684_
01100301605;118;18680_
01100301606;48;11639_11640_18509_18684_
01100301607;48;11639_11640_18509_18684_
01100301608;118;18680_
01100301609;118;18680_
01100301701;50;11642_
01100301702;50;11642_
01100301704;50;11642_
01100301705;50;11642_
01100301706;50;11642_
01100301707;50;11642_
01100301708;50;11642_
01100301709;50;11642_
01100301710;50;11642_
01100301801;50;11642_
01100301802;50;11642_
01100301803;50;11642_
01100301804;50;11642_
01100301805;50;11642_
01100301806;50;11642_
01100301807;50;11642_
01100301808;50;11642_
01100301901;50;11642_
01100301902;50;11642_
01100301904;50;11642_
01100301905;50;11642_
01100301906;81;18508_
01100301907;50;11642_
01100301908;50;11642_
01100301909;50;11642_
01100302001;118;18680_
01100302002;118;18680_
01100302003;118;18680_
01100302004;118;18680_
01100302005;118;18680_
01100302007;118;18680_
01100302008;118;18680_
01100302010;118;18680_
01100302011;50;11642_
01100302012;118;18680_
01100302101;50;11642_
01100302102;55;11648_
01100302103;50;11642_
01100302104;50;11642_
01100302105;50;11642_
01100302106;118;18680_
01100302107;50;11642_
01100302108;50;11642_
01100302109;81;18508_
01100302110;50;11642_
01100302111;50;11642_
01100302112;50;11642_
01100302113;50;11642_
01100302114;50;11642_
01100302201;81;18508_
01100302202;50;11642_
01100302203;50;11642_
01100302204;50;11642_
01100302205;81;18508_
01100302206;81;18508_
01100302208;50;11642_
01100302209;81;18508_
01100302210;50;11642_
01100302211;81;18508_
01100302212;50;11642_
01100302301;118;18680_
01100302302;118;18680_
01100302303;50;11642_
01100302304;118;18680_
01100302306;118;18680_
01100302307;50;11642_
01100302308;118;18680_
01100302309;50;11642_
01100302310;118;18680_
01100302311;50;11642_
01100302312;50;11642_
01100302313;50;11642_
01100302314;50;11642_
01100302315;81;18508_
01100302316;50;11642_
01100302318;50;11642_
01100302319;50;11642_
01100302320;50;11642_
01100302321;81;18508_
01100302401;86;18627_18653_
01100302402;50;11642_
01100302403;50;11642_
01100302404;50;11642_
01100302405;50;11642_
01100302407;50;11642_
01100302408;50;11642_
01100302410;50;11642_
01100302411;50;11642_
01100302412;50;11642_
01100302413;81;18508_
01100302414;81;18508_
01100302415;81;18508_
01100302416;81;18508_
01100400101;81;18508_
01100400102;131;20837_
01100400103;131;20837_
01100400104;131;20837_
01100400105;131;20837_
01100400106;53;11645_
01100400107;53;11645_
01100400108;53;11645_
01100400201;81;18508_
01100400202;81;18508_
01100400203;81;18508_
01100400204;81;18508_
01100400205;123;18687_
01100400206;131;20837_
01100400207;131;20837_
01100400208;131;20837_
01100400209;81;18508_
01100400210;81;18508_
01100400211;131;20837_
01100400212;131;20837_
01100400213;131;20837_
01100400214;131;20837_
01100400215;131;20837_
01100400216;131;20837_
01100400217;131;20837_
01100400218;123;18687_
01100400301;53;11645_
01100400302;79;18506_
01100400303;53;11645_
01100400304;79;18506_
01100400305;53;11645_
01100400306;53;11645_
01100400307;53;11645_
01100400401;79;18506_
01100400402;52;11644_
01100400403;52;11644_
01100400404;52;11644_
01100400501;53;11645_
01100400502;53;11645_
01100400503;53;11645_
01100400504;53;11645_
01100400505;53;11645_
01100400506;53;11645_
01100400507;53;11645_
01100400508;53;11645_
01100400509;53;11645_
01100400601;131;20837_
01100400602;131;20837_
01100400603;131;20837_
01100400604;131;20837_
01100400605;131;20837_
01100400606;131;20837_
01100400607;131;20837_
01100400608;75;18502_
01100400609;75;18502_
01100400610;75;18502_
01100400611;131;20837_
01100400612;131;20837_
01100400613;131;20837_
01100400701;53;11645_
01100400702;52;11644_
01100400703;52;11644_
01100400704;52;11644_
01100400705;53;11645_
01100400706;53;11645_
01100400707;52;11644_
01100400801;53;11645_
01100400802;53;11645_
01100400803;53;11645_
01100400804;53;11645_
01100400805;53;11645_
01100400806;54;11646_11647_
01100400807;53;11645_
01100400808;75;18502_
01100400809;54;11646_11647_
01100400810;75;18502_
01100400811;75;18502_
01100400901;52;11644_
01100400902;52;11644_
01100400903;52;11644_
01100400904;52;11644_
01100400905;52;11644_
01100400906;52;11644_
01100400907;52;11644_
01100400908;52;11644_
01100400909;52;11644_
01100401001;52;11644_
01100401002;52;11644_
01100401004;78;18505_
01100401006;78;18505_
01100401007;78;18505_
01100401008;2;10333_10373_
01100401009;78;18505_
01100401010;56;11649_
01100401011;2;10333_10373_
01100401013;2;10333_10373_
01100401014;2;10333_10373_
01100401015;2;10333_10373_
01100401016;2;10333_10373_
01100401017;2;10333_10373_
01100401101;75;18502_
01100401102;75;18502_
01100401103;75;18502_
01100401104;75;18502_
01100401105;75;18502_
01100401201;53;11645_
01100401202;53;11645_
01100401203;75;18502_
01100401204;75;18502_
01100401205;52;11644_
01100401301;54;11646_11647_
01100401302;75;18502_
01100401303;75;18502_
01100401304;75;18502_
01100401305;75;18502_
01100401306;75;18502_
01100401307;75;18502_
01100401308;75;18502_
01100401309;75;18502_
01100401401;75;18502_
01100401402;75;18502_
01100401403;75;18502_
01100401404;75;18502_
01100401405;75;18502_
01100401501;52;11644_
01100401502;52;11644_
01100401503;52;11644_
01100401504;52;11644_
01100401505;52;11644_
01100401506;52;11644_
01100401601;75;18502_
01100401602;75;18502_
01100401603;75;18502_
01100401604;75;18502_
01100401605;75;18502_
01100401606;75;18502_
01100401607;75;18502_
01100401608;75;18502_
01100401609;75;18502_
01100401610;75;18502_
01100401611;75;18502_
01100401612;75;18502_
01100401701;52;11644_
01100401702;52;11644_
01100401703;52;11644_
01100401705;52;11644_
01100401706;78;18505_
01100401707;78;18505_
01100401708;56;11649_
01100401709;56;11649_
01100401710;56;11649_
01100401712;56;11649_
01100401802;75;18502_
01100401803;75;18502_
01100401804;75;18502_
01100401805;75;18502_
01100401806;75;18502_
01100401807;75;18502_
01100401808;75;18502_
01100401809;75;18502_
01100401810;77;18504_
01100401811;75;18502_
01100401812;75;18502_
01100401901;52;11644_
01100401902;52;11644_
01100401903;52;11644_
01100401904;76;18503_20832_
01100401905;56;11649_
01100401909;56;11649_
01100402001;75;18502_
01100402002;76;18503_20832_
01100402003;75;18502_
01100402004;56;11649_
01100402005;76;18503_20832_
01100402006;75;18502_
01100402008;75;18502_
01100402009;76;18503_20832_
01100402010;75;18502_
01100402011;75;18502_
01100402012;76;18503_20832_
01100402013;75;18502_
01100402101;77;18504_
01100402102;77;18504_
01100402103;77;18504_
01100402104;77;18504_
01100402105;77;18504_
01100402106;77;18504_
01100402107;77;18504_
01100402108;77;18504_
01100402109;75;18502_
01100402110;75;18502_
01100402111;75;18502_
01100402113;75;18502_
01100402114;75;18502_
01100402115;131;20837_
01100402116;131;20837_
01100402117;131;20837_
01100402118;131;20837_
01100402119;131;20837_
01100402120;123;18687_
01100402201;56;11649_
01100402202;56;11649_
01100402203;56;11649_
01100402204;56;11649_
01100402205;56;11649_
01100402206;2;10333_10373_
01100402207;56;11649_
01100402208;56;11649_
01100402209;56;11649_
01100402210;56;11649_
01100402211;56;11649_
01100402213;56;11649_
01100402214;56;11649_
01100402215;56;11649_
01100402301;56;11649_
01100402302;2;10333_10373_
01100402303;56;11649_
01100402304;56;11649_
01100402305;56;11649_
01100402306;56;11649_
01100402307;56;11649_
01100402308;56;11649_
01100402309;76;18503_20832_
01100402310;56;11649_
01100402311;56;11649_
01100402313;56;11649_
