Zone_ID;Zone_ID_Name;geocod_query;location;point;Lat;Lon;geometry;Lat_ETRS89;Lon_ETRS89;CLOSE_NODE;0;1;2;3;4;jointly_zones;ZONE_CS_newID_132Z;ZONE_CS_newID_132Z_CAT;ZONE_CS_newID_132Z_CATint;M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_133Z_correcao;ZONE_CS_133Z_correcao_2
18508;Centro;Centro, Gafanha da Encarnação, Ílhavo, Portugal;3830 Gafanha da Encarnação, Portugal;(40.61842240000001, -8.7335245);40.61842240000001;-8.7335245;POINT (-50806.474112247895 105677.04967053639);105677.04967053639;-50806.474112247895;1492016470;18508.0;;;;;[18508];18508;81;81;;;18508_
18509;Centro;Centro, Gafanha da Nazaré, Ílhavo, Portugal;3830 Gafanha da Nazaré, Portugal;(40.6363737, -8.7004614);40.6363737;-8.7004614;POINT (-47995.8473679206 107651.93558166047);107651.93558166047;-47995.8473679206;5145328396;11639.0;11640.0;18509.0;18684.0;;[11639, 11640, 18509, 18684];11639_11640_18509_18684;48;48;;;11639_11640_18509_18684_
18622;Cidadela;Cidadela, Esgueira, Aveiro, Portugal;Esgueira, 3800, Portugal;(40.6485151, -8.6281064);40.6485151;-8.6281064;POINT (-41867.285503316496 108963.25208310653);108963.25208310653;-41867.285503316496;456863213;18622.0;18623.0;18630.0;18632.0;;[18622, 18623, 18630, 18632];18622_18623_18630_18632;82;82;;;18622_18623_18630_18632_
18623;Esgueira;Esgueira, Esgueira, Aveiro, Portugal;Esgueira, 3800, Portugal;(40.6485151, -8.6281064);40.6485151;-8.6281064;POINT (-41867.285503316496 108963.25208310653);108963.25208310653;-41867.285503316496;456863213;18622.0;18623.0;18630.0;18632.0;;[18622, 18623, 18630, 18632];18622_18623_18630_18632;82;82;;;18622_18623_18630_18632_
18624;Cabo Luis;Cabo Luis, Esgueira, Aveiro, Portugal;Tv. Cabo Luís, 3800, Portugal;(40.6471536, -8.6175404);40.6471536;-8.6175404;POINT (-40974.435191937526 108807.08468981471);108807.08468981471;-40974.435191937526;1869868437;18624.0;;;;;[18624];18624;83;83;;;18624_
18625;Quinta do Simão;Quinta do Simão, Esgueira, Aveiro, Portugal;Q.ta do Simão, 3800-112 Aveiro, Portugal;(40.6589385, -8.6131339);40.6589385;-8.6131339;POINT (-40594.578322755224 110113.72852511694);110113.72852511694;-40594.578322755224;1650475303;18625.0;;;;;[18625];18625;84;84;;;18625_
18626;Caião;Caião, Esgueira, Aveiro, Portugal;Caião, 3800-118 Aveiro, Portugal;(40.6411219, -8.626173999999999);40.6411219;-8.626173999999999;POINT (-41708.44328323716 108141.33630744858);108141.33630744858;-41708.44328323716;1167473321;18626.0;;;;;[18626];18626;85;85;;;18626_
18627;Agras do Norte ;Agras do Norte , Esgueira, Aveiro, Portugal;Av. das Agras do Norte, 3800 Aveiro, Portugal;(40.650852, -8.6368918);40.650852;-8.6368918;POINT (-42608.87728849699 109226.97881694199);109226.97881694199;-42608.87728849699;1959534285;18627.0;18653.0;;;;[18627, 18653];18627_18653;86;86;;;18627_18653_
18628;Quinta de Santo António;Quinta de Santo António, Esgueira, Aveiro, Portugal;Tv. da Quinta de Santo António, 3800, Portugal;(40.6551997, -8.6187235);40.6551997;-8.6187235;POINT (-41069.57148572987 109701.13808569021);109701.13808569021;-41069.57148572987;1558059146;18628.0;;;;;[18628];18628;87;87;;;18628_
18629;Quinta do Carramona;Quinta do Carramona, Esgueira, Aveiro, Portugal;R. da Carramona, 3800-367, Portugal;(40.6665792, -8.6253084);40.6665792;-8.6253084;POINT (-41619.39997780602 110967.90472152017);110967.90472152017;-41619.39997780602;1705816987;18629.0;;;;;[18629];18629;88;88;;;18629_
18630;Quinta das Acácias;Quinta das Acácias, Esgueira, Aveiro, Portugal;Esgueira, 3800, Portugal;(40.6485151, -8.6281064);40.6485151;-8.6281064;POINT (-41867.285503316496 108963.25208310653);108963.25208310653;-41867.285503316496;456863213;18622.0;18623.0;18630.0;18632.0;;[18622, 18623, 18630, 18632];18622_18623_18630_18632;82;82;;;18622_18623_18630_18632_
18631;Quinta do Olho D'Água ;Quinta do Olho D'Água , Esgueira, Aveiro, Portugal;Quinta Olho d'Agua, bloco A6, 3800-320 Aveiro, Portugal;(40.6536541, -8.625447);40.6536541;-8.625447;POINT (-41639.15608079832 109532.66419913601);109532.66419913601;-41639.15608079832;3957144787;18631.0;;;;;[18631];18631;89;89;;;18631_
18632;Viaduto;Viaduto, Esgueira, Aveiro, Portugal;Esgueira, 3800, Portugal;(40.6485151, -8.6281064);40.6485151;-8.6281064;POINT (-41867.285503316496 108963.25208310653);108963.25208310653;-41867.285503316496;456863213;18622.0;18623.0;18630.0;18632.0;;[18622, 18623, 18630, 18632];18622_18623_18630_18632;82;82;;;18622_18623_18630_18632_
