BGRI11,Cluster_LP,area
1050100606,5,0.141979
1050100605,5,0.141979
1050100604,5,0.141979
1050601901,30,0.00303546
1050601107,164,0.00414438
1050601804,30,0.00303546
1050601803,30,0.00303546
1050601603,30,0.00303546
1050601207,29,0.156809
1050601102,164,0.00414438
1051300608,67,0.0387496
1050601305,24,0.0105746
1050601401,24,0.0105746
1051300607,67,0.0387496
1050601304,24,0.0105746
1050600603,111,0.0111398
1050600103,22,0.00153693
1050600702,104,0.0352149
1050600507,104,0.0352149
1051201812,45,0.0487027
1051300507,66,0.0121473
1051201811,45,0.0487027
1051201810,45,0.0487027
1050600602,111,0.0111398
1051300506,66,0.0121473
1051201809,45,0.0487027
1050600601,31,0.0108943
1051300505,66,0.0121473
1051201808,45,0.0487027
1051300504,66,0.0121473
1050600102,80,0.0476566
1051300405,90,0.0551099
1051201707,45,0.0487027
1050600308,111,0.0111398
1051201807,45,0.0487027
1051201806,45,0.0487027
1050600307,111,0.0111398
1051300104,66,0.0121473
1050501105,101,0.027252
1050501201,18,0.00989636
1051300404,90,0.0551099
1051200909,45,0.0487027
1051201805,45,0.0487027
1050600209,80,0.0476566
1050600412,111,0.0111398
1050600506,103,0.0022015
1051300503,66,0.0121473
1050600505,26,0.00507752
1051201804,45,0.0487027
1051300103,66,0.0121473
1051300403,90,0.0551099
1051300210,66,0.0121473
1050600306,111,0.0111398
1051300303,150,0.00414438
1050600411,31,0.0108943
1050600208,156,0.00153693
1050600305,103,0.0022015
1051201706,45,0.0487027
1050600207,80,0.0476566
1051300402,90,0.0551099
1051201003,166,0.0105209
1051201301,41,0.00320417
1050501805,63,0.0555703
1050501103,163,0.0555703
1050501102,20,0.0634359
1050500809,59,0.10524
1051300302,153,0.0555703
1051201705,45,0.0487027
1051201802,45,0.0487027
1050600410,111,0.0111398
1050600409,31,0.0108943
1051300502,66,0.0121473
1051201801,45,0.0487027
1050600504,103,0.0022015
1050600304,111,0.0111398
1051300601,91,0.0705134
1050600408,31,0.0108943
1050600503,103,0.0022015
1051200908,45,0.0487027
1050600407,31,0.0108943
1051200907,45,0.0487027
1050600502,26,0.00507752
1051300501,60,0.0105821
1050600206,31,0.0108943
1050600303,111,0.0111398
1050600205,110,0.00785228
1051200906,45,0.0487027
1051200905,45,0.0487027
1051201704,43,0.0937824
1050600406,109,0.00325585
1051300209,66,0.0121473
1051201107,106,0.0118012
1051201106,106,0.0118012
1051200109,102,0.00204292
1050501804,82,0.00271722
1051201202,42,0.0093428
1051200108,41,0.00320417
1051200107,102,0.00204292
1051200110,41,0.00320417
1051201105,41,0.00320417
1051200512,41,0.00320417
1051201002,166,0.0105209
1051201104,107,0.0105209
1051201103,107,0.0105209
1051200511,101,0.027252
1051201102,41,0.00320417
1051200106,41,0.00320417
1051201201,42,0.0093428
1051300401,60,0.0105821
1050600405,109,0.00325585
1050600204,31,0.0108943
1051201703,43,0.0937824
1051200903,45,0.0487027
1051300207,66,0.0121473
1051300208,60,0.0105821
1051201702,157,0.00507752
1050600501,57,0.0753825
1051201701,157,0.00507752
1051300206,66,0.0121473
1051300205,66,0.0121473
1050600302,109,0.00325585
1051300301,85,0.150042
1051300204,162,0.0105821
1050501809,92,0.0368284
1050600203,31,0.0108943
1051201604,109,0.00325585
1050600403,31,0.0108943
1051300203,162,0.0105821
1050600402,109,0.00325585
1050600401,31,0.0108943
1051200105,101,0.027252
1051200104,41,0.00320417
1050501703,45,0.0487027
1051201101,41,0.00320417
1051200103,101,0.027252
1051201001,166,0.0105209
1050501803,63,0.0555703
1051200102,101,0.027252
1051200510,101,0.027252
1051200802,166,0.0105209
1051200606,166,0.0105209
1051200509,101,0.027252
1051200702,166,0.0105209
1051200901,161,0.0937824
1051200508,101,0.027252
1051200507,101,0.027252
1051200801,166,0.0105209
1051200101,101,0.027252
1050501504,155,0.0105209
1051200506,101,0.027252
1051200505,101,0.027252
1051200605,166,0.0105209
1051300202,66,0.0121473
1051300201,66,0.0121473
1050600301,109,0.00325585
1051300102,91,0.0705134
1050600202,80,0.0476566
1051300101,91,0.0705134
1051201319,41,0.00320417
1051201507,109,0.00325585
1051201422,40,0.00219366
1050501919,152,0.0105821
1051201421,40,0.00219366
1051201420,40,0.00219366
1051201318,41,0.00320417
1051201317,41,0.00320417
1050501918,63,0.0555703
1051201603,165,0.0022015
1051201316,40,0.00219366
1050501503,155,0.0105209
1050501802,63,0.0555703
1051200701,166,0.0105209
1051200504,101,0.027252
1051200503,101,0.027252
1051200604,19,0.0109728
1051200406,166,0.0105209
1050500808,89,0.00734205
1050500807,59,0.10524
1050500806,59,0.10524
1050500805,59,0.10524
1050501101,20,0.0634359
1050501002,89,0.00734205
1050500804,89,0.00734205
1050500803,89,0.00734205
1050501309,82,0.00271722
1050501701,82,0.00271722
1050501308,82,0.00271722
1050501307,82,0.00271722
1051200402,101,0.027252
1050501306,82,0.00271722
1051200401,101,0.027252
1051200206,101,0.027252
1050501108,163,0.0555703
1050501408,82,0.00271722
1050501305,82,0.00271722
1050501407,14,0.0186518
1050501304,82,0.00271722
1050501501,18,0.00989636
1050501406,82,0.00271722
1051200205,101,0.027252
1050501303,82,0.00271722
1051201315,41,0.00320417
1051201314,41,0.00320417
1050501917,63,0.0555703
1050501808,63,0.0555703
1051201419,40,0.00219366
1051201418,40,0.00219366
1051201506,109,0.00325585
1051201417,102,0.00204292
1051201313,41,0.00320417
1051201416,40,0.00219366
1051201415,40,0.00219366
1051200902,45,0.0487027
1051201414,40,0.00219366
1051201312,40,0.00219366
1051201413,40,0.00219366
1051201311,41,0.00320417
1051201602,165,0.0022015
1051201412,40,0.00219366
1051201310,41,0.00320417
1051201601,105,0.0167051
1051201411,40,0.00219366
1051201309,41,0.00320417
1051201006,161,0.0937824
1051201410,40,0.00219366
1050501807,85,0.150042
1051201409,102,0.00204292
1051201308,41,0.00320417
1050100405,5,0.141979
1050100404,21,0.0491968
1051000306,21,0.0491968
1051000305,21,0.0491968
1050100511,5,0.141979
